"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Montag, 01. Februar 2010","07:51","17:22","09:31","nein"
"Dienstag, 02. Februar 2010","07:50","17:24","09:34","nein"
"Mittwoch, 03. Februar 2010","07:48","17:25","09:37","nein"
"Donnerstag, 04. Februar 2010","07:47","17:27","09:40","nein"
"Freitag, 05. Februar 2010","07:46","17:29","09:43","nein"
"Samstag, 06. Februar 2010","07:44","17:30","09:45","nein"
"Sonntag, 07. Februar 2010","07:43","17:32","09:49","nein"
"Montag, 08. Februar 2010","07:41","17:33","09:52","nein"
"Dienstag, 09. Februar 2010","07:40","17:35","09:55","nein"
"Mittwoch, 10. Februar 2010","07:38","17:37","09:58","nein"
"Donnerstag, 11. Februar 2010","07:37","17:38","10:01","nein"
"Freitag, 12. Februar 2010","07:35","17:40","10:04","nein"
"Samstag, 13. Februar 2010","07:34","17:41","10:07","nein"
"Sonntag, 14. Februar 2010","07:32","17:43","10:10","nein"
"Montag, 15. Februar 2010","07:30","17:44","10:14","nein"
"Dienstag, 16. Februar 2010","07:29","17:46","10:17","nein"
"Mittwoch, 17. Februar 2010","07:27","17:48","10:20","nein"
"Donnerstag, 18. Februar 2010","07:25","17:49","10:23","nein"
"Freitag, 19. Februar 2010","07:24","17:51","10:27","nein"
"Samstag, 20. Februar 2010","07:22","17:52","10:30","nein"
"Sonntag, 21. Februar 2010","07:20","17:54","10:33","nein"
"Montag, 22. Februar 2010","07:18","17:55","10:36","nein"
"Dienstag, 23. Februar 2010","07:17","17:57","10:40","nein"
"Mittwoch, 24. Februar 2010","07:15","17:58","10:43","nein"
"Donnerstag, 25. Februar 2010","07:13","18:00","10:46","nein"
"Freitag, 26. Februar 2010","07:11","18:01","10:50","nein"
"Samstag, 27. Februar 2010","07:09","18:03","10:53","nein"
"Sonntag, 28. Februar 2010","07:07","18:05","10:57","nein"
