"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Mittwoch, 01. September 2010","06:38","20:04","13:25","ja"
"Donnerstag, 02. September 2010","06:40","20:02","13:21","ja"
"Freitag, 03. September 2010","06:41","20:00","13:18","ja"
"Samstag, 04. September 2010","06:42","19:58","13:15","ja"
"Sonntag, 05. September 2010","06:44","19:56","13:11","ja"
"Montag, 06. September 2010","06:45","19:54","13:08","ja"
"Dienstag, 07. September 2010","06:46","19:52","13:05","ja"
"Mittwoch, 08. September 2010","06:48","19:50","13:01","ja"
"Donnerstag, 09. September 2010","06:49","19:47","12:58","ja"
"Freitag, 10. September 2010","06:50","19:45","12:55","ja"
"Samstag, 11. September 2010","06:52","19:43","12:51","ja"
"Sonntag, 12. September 2010","06:53","19:41","12:48","ja"
"Montag, 13. September 2010","06:54","19:39","12:44","ja"
"Dienstag, 14. September 2010","06:56","19:37","12:41","ja"
"Mittwoch, 15. September 2010","06:57","19:35","12:38","ja"
"Donnerstag, 16. September 2010","06:58","19:33","12:34","ja"
"Freitag, 17. September 2010","07:00","19:31","12:31","ja"
"Samstag, 18. September 2010","07:01","19:29","12:27","ja"
"Sonntag, 19. September 2010","07:03","19:27","12:24","ja"
"Montag, 20. September 2010","07:04","19:25","12:20","ja"
"Dienstag, 21. September 2010","07:05","19:23","12:17","ja"
"Mittwoch, 22. September 2010","07:07","19:21","12:14","ja"
"Donnerstag, 23. September 2010","07:08","19:19","12:10","ja"
"Freitag, 24. September 2010","07:09","19:17","12:07","ja"
"Samstag, 25. September 2010","07:11","19:15","12:03","ja"
"Sonntag, 26. September 2010","07:12","19:12","12:00","ja"
"Montag, 27. September 2010","07:13","19:10","11:57","ja"
"Dienstag, 28. September 2010","07:15","19:08","11:53","ja"
"Mittwoch, 29. September 2010","07:16","19:06","11:50","ja"
"Donnerstag, 30. September 2010","07:18","19:04","11:46","ja"
