"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Donnerstag, 01. April 2010","07:04","19:51","12:47","ja"
"Freitag, 02. April 2010","07:02","19:53","12:51","ja"
"Samstag, 03. April 2010","07:00","19:54","12:54","ja"
"Sonntag, 04. April 2010","06:58","19:56","12:58","ja"
"Montag, 05. April 2010","06:56","19:57","13:01","ja"
"Dienstag, 06. April 2010","06:54","19:58","13:04","ja"
"Mittwoch, 07. April 2010","06:52","20:00","13:08","ja"
"Donnerstag, 08. April 2010","06:50","20:01","13:11","ja"
"Freitag, 09. April 2010","06:48","20:03","13:15","ja"
"Samstag, 10. April 2010","06:46","20:04","13:18","ja"
"Sonntag, 11. April 2010","06:44","20:05","13:21","ja"
"Montag, 12. April 2010","06:42","20:07","13:25","ja"
"Dienstag, 13. April 2010","06:40","20:08","13:28","ja"
"Mittwoch, 14. April 2010","06:38","20:10","13:31","ja"
"Donnerstag, 15. April 2010","06:36","20:11","13:35","ja"
"Freitag, 16. April 2010","06:34","20:13","13:38","ja"
"Samstag, 17. April 2010","06:32","20:14","13:41","ja"
"Sonntag, 18. April 2010","06:30","20:15","13:45","ja"
"Montag, 19. April 2010","06:28","20:17","13:48","ja"
"Dienstag, 20. April 2010","06:26","20:18","13:51","ja"
"Mittwoch, 21. April 2010","06:25","20:20","13:55","ja"
"Donnerstag, 22. April 2010","06:23","20:21","13:58","ja"
"Freitag, 23. April 2010","06:21","20:22","14:01","ja"
"Samstag, 24. April 2010","06:19","20:24","14:04","ja"
"Sonntag, 25. April 2010","06:17","20:25","14:07","ja"
"Montag, 26. April 2010","06:16","20:27","14:11","ja"
"Dienstag, 27. April 2010","06:14","20:28","14:14","ja"
"Mittwoch, 28. April 2010","06:12","20:29","14:17","ja"
"Donnerstag, 29. April 2010","06:10","20:31","14:20","ja"
"Freitag, 30. April 2010","06:09","20:32","14:23","ja"
