"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Mittwoch, 01. Dezember 2010","07:48","16:32","08:44","nein"
"Donnerstag, 02. Dezember 2010","07:49","16:32","08:42","nein"
"Freitag, 03. Dezember 2010","07:50","16:31","08:41","nein"
"Samstag, 04. Dezember 2010","07:51","16:31","08:39","nein"
"Sonntag, 05. Dezember 2010","07:53","16:31","08:38","nein"
"Montag, 06. Dezember 2010","07:54","16:31","08:36","nein"
"Dienstag, 07. Dezember 2010","07:55","16:30","08:35","nein"
"Mittwoch, 08. Dezember 2010","07:56","16:30","08:34","nein"
"Donnerstag, 09. Dezember 2010","07:57","16:30","08:32","nein"
"Freitag, 10. Dezember 2010","07:58","16:30","08:31","nein"
"Samstag, 11. Dezember 2010","07:59","16:30","08:30","nein"
"Sonntag, 12. Dezember 2010","08:00","16:30","08:29","nein"
"Montag, 13. Dezember 2010","08:01","16:30","08:28","nein"
"Dienstag, 14. Dezember 2010","08:02","16:30","08:28","nein"
"Mittwoch, 15. Dezember 2010","08:03","16:30","08:27","nein"
"Donnerstag, 16. Dezember 2010","08:04","16:30","08:26","nein"
"Freitag, 17. Dezember 2010","08:04","16:31","08:26","nein"
"Samstag, 18. Dezember 2010","08:05","16:31","08:25","nein"
"Sonntag, 19. Dezember 2010","08:06","16:31","08:25","nein"
"Montag, 20. Dezember 2010","08:06","16:32","08:25","nein"
"Dienstag, 21. Dezember 2010","08:07","16:32","08:25","nein"
"Mittwoch, 22. Dezember 2010","08:08","16:33","08:25","nein"
"Donnerstag, 23. Dezember 2010","08:08","16:33","08:25","nein"
"Freitag, 24. Dezember 2010","08:09","16:34","08:25","nein"
"Samstag, 25. Dezember 2010","08:09","16:34","08:25","nein"
"Sonntag, 26. Dezember 2010","08:09","16:35","08:25","nein"
"Montag, 27. Dezember 2010","08:10","16:36","08:26","nein"
"Dienstag, 28. Dezember 2010","08:10","16:37","08:26","nein"
"Mittwoch, 29. Dezember 2010","08:10","16:37","08:27","nein"
"Donnerstag, 30. Dezember 2010","08:10","16:38","08:27","nein"
"Freitag, 31. Dezember 2010","08:11","16:39","08:28","nein"
