"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Freitag, 01. Januar 2010","08:11","16:40","08:29","nein"
"Samstag, 02. Januar 2010","08:11","16:41","08:30","nein"
"Sonntag, 03. Januar 2010","08:11","16:42","08:31","nein"
"Montag, 04. Januar 2010","08:11","16:43","08:32","nein"
"Dienstag, 05. Januar 2010","08:11","16:45","08:33","nein"
"Mittwoch, 06. Januar 2010","08:10","16:46","08:35","nein"
"Donnerstag, 07. Januar 2010","08:10","16:47","08:36","nein"
"Freitag, 08. Januar 2010","08:10","16:48","08:37","nein"
"Samstag, 09. Januar 2010","08:10","16:49","08:39","nein"
"Sonntag, 10. Januar 2010","08:09","16:50","08:41","nein"
"Montag, 11. Januar 2010","08:09","16:52","08:42","nein"
"Dienstag, 12. Januar 2010","08:09","16:53","08:44","nein"
"Mittwoch, 13. Januar 2010","08:08","16:54","08:46","nein"
"Donnerstag, 14. Januar 2010","08:08","16:56","08:48","nein"
"Freitag, 15. Januar 2010","08:07","16:57","08:49","nein"
"Samstag, 16. Januar 2010","08:06","16:58","08:51","nein"
"Sonntag, 17. Januar 2010","08:06","17:00","08:54","nein"
"Montag, 18. Januar 2010","08:05","17:01","08:56","nein"
"Dienstag, 19. Januar 2010","08:04","17:03","08:58","nein"
"Mittwoch, 20. Januar 2010","08:03","17:04","09:00","nein"
"Donnerstag, 21. Januar 2010","08:03","17:05","09:02","nein"
"Freitag, 22. Januar 2010","08:02","17:07","09:05","nein"
"Samstag, 23. Januar 2010","08:01","17:08","09:07","nein"
"Sonntag, 24. Januar 2010","08:00","17:10","09:10","nein"
"Montag, 25. Januar 2010","07:59","17:11","09:12","nein"
"Dienstag, 26. Januar 2010","07:58","17:13","09:15","nein"
"Mittwoch, 27. Januar 2010","07:57","17:14","09:17","nein"
"Donnerstag, 28. Januar 2010","07:56","17:16","09:20","nein"
"Freitag, 29. Januar 2010","07:54","17:18","09:23","nein"
"Samstag, 30. Januar 2010","07:53","17:19","09:25","nein"
"Sonntag, 31. Januar 2010","07:52","17:21","09:28","nein"
