"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Donnerstag, 01. Juli 2010","05:27","21:24","15:56","ja"
"Freitag, 02. Juli 2010","05:27","21:24","15:56","ja"
"Samstag, 03. Juli 2010","05:28","21:23","15:55","ja"
"Sonntag, 04. Juli 2010","05:29","21:23","15:54","ja"
"Montag, 05. Juli 2010","05:29","21:23","15:53","ja"
"Dienstag, 06. Juli 2010","05:30","21:22","15:52","ja"
"Mittwoch, 07. Juli 2010","05:31","21:22","15:50","ja"
"Donnerstag, 08. Juli 2010","05:32","21:21","15:49","ja"
"Freitag, 09. Juli 2010","05:32","21:21","15:48","ja"
"Samstag, 10. Juli 2010","05:33","21:20","15:46","ja"
"Sonntag, 11. Juli 2010","05:34","21:19","15:45","ja"
"Montag, 12. Juli 2010","05:35","21:19","15:43","ja"
"Dienstag, 13. Juli 2010","05:36","21:18","15:42","ja"
"Mittwoch, 14. Juli 2010","05:37","21:17","15:40","ja"
"Donnerstag, 15. Juli 2010","05:38","21:16","15:38","ja"
"Freitag, 16. Juli 2010","05:39","21:16","15:36","ja"
"Samstag, 17. Juli 2010","05:40","21:15","15:35","ja"
"Sonntag, 18. Juli 2010","05:41","21:14","15:33","ja"
"Montag, 19. Juli 2010","05:42","21:13","15:31","ja"
"Dienstag, 20. Juli 2010","05:43","21:12","15:29","ja"
"Mittwoch, 21. Juli 2010","05:44","21:11","15:26","ja"
"Donnerstag, 22. Juli 2010","05:45","21:10","15:24","ja"
"Freitag, 23. Juli 2010","05:46","21:09","15:22","ja"
"Samstag, 24. Juli 2010","05:47","21:08","15:20","ja"
"Sonntag, 25. Juli 2010","05:49","21:06","15:17","ja"
"Montag, 26. Juli 2010","05:50","21:05","15:15","ja"
"Dienstag, 27. Juli 2010","05:51","21:04","15:13","ja"
"Mittwoch, 28. Juli 2010","05:52","21:03","15:10","ja"
"Donnerstag, 29. Juli 2010","05:53","21:02","15:08","ja"
"Freitag, 30. Juli 2010","05:55","21:00","15:05","ja"
"Samstag, 31. Juli 2010","05:56","20:59","15:02","ja"
