"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Montag, 01. März 2010","07:06","18:06","11:00","nein"
"Dienstag, 02. März 2010","07:04","18:08","11:03","nein"
"Mittwoch, 03. März 2010","07:02","18:09","11:07","nein"
"Donnerstag, 04. März 2010","07:00","18:11","11:10","nein"
"Freitag, 05. März 2010","06:58","18:12","11:14","nein"
"Samstag, 06. März 2010","06:56","18:14","11:17","nein"
"Sonntag, 07. März 2010","06:54","18:15","11:21","nein"
"Montag, 08. März 2010","06:52","18:17","11:24","nein"
"Dienstag, 09. März 2010","06:50","18:18","11:27","nein"
"Mittwoch, 10. März 2010","06:48","18:20","11:31","nein"
"Donnerstag, 11. März 2010","06:46","18:21","11:34","nein"
"Freitag, 12. März 2010","06:44","18:22","11:38","nein"
"Samstag, 13. März 2010","06:42","18:24","11:41","nein"
"Sonntag, 14. März 2010","06:40","18:25","11:45","nein"
"Montag, 15. März 2010","06:38","18:27","11:48","nein"
"Dienstag, 16. März 2010","06:36","18:28","11:52","nein"
"Mittwoch, 17. März 2010","06:34","18:30","11:55","nein"
"Donnerstag, 18. März 2010","06:32","18:31","11:59","nein"
"Freitag, 19. März 2010","06:30","18:33","12:02","nein"
"Samstag, 20. März 2010","06:28","18:34","12:06","nein"
"Sonntag, 21. März 2010","06:26","18:36","12:09","nein"
"Montag, 22. März 2010","06:24","18:37","12:13","nein"
"Dienstag, 23. März 2010","06:22","18:38","12:16","nein"
"Mittwoch, 24. März 2010","06:20","18:40","12:19","nein"
"Donnerstag, 25. März 2010","06:18","18:41","12:23","nein"
"Freitag, 26. März 2010","06:16","18:43","12:26","nein"
"Samstag, 27. März 2010","06:14","18:44","12:30","nein"
"Sonntag, 28. März 2010","07:12","19:46","12:33","ja"
"Montag, 29. März 2010","07:10","19:47","12:37","ja"
"Dienstag, 30. März 2010","07:08","19:48","12:40","ja"
"Mittwoch, 31. März 2010","07:06","19:50","12:44","ja"
