"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Samstag, 01. Mai 2010","06:07","20:34","14:26","ja"
"Sonntag, 02. Mai 2010","06:05","20:35","14:29","ja"
"Montag, 03. Mai 2010","06:04","20:36","14:32","ja"
"Dienstag, 04. Mai 2010","06:02","20:38","14:35","ja"
"Mittwoch, 05. Mai 2010","06:00","20:39","14:38","ja"
"Donnerstag, 06. Mai 2010","05:59","20:41","14:41","ja"
"Freitag, 07. Mai 2010","05:57","20:42","14:44","ja"
"Samstag, 08. Mai 2010","05:56","20:43","14:47","ja"
"Sonntag, 09. Mai 2010","05:54","20:45","14:50","ja"
"Montag, 10. Mai 2010","05:53","20:46","14:53","ja"
"Dienstag, 11. Mai 2010","05:51","20:47","14:55","ja"
"Mittwoch, 12. Mai 2010","05:50","20:49","14:58","ja"
"Donnerstag, 13. Mai 2010","05:49","20:50","15:01","ja"
"Freitag, 14. Mai 2010","05:47","20:51","15:03","ja"
"Samstag, 15. Mai 2010","05:46","20:53","15:06","ja"
"Sonntag, 16. Mai 2010","05:45","20:54","15:09","ja"
"Montag, 17. Mai 2010","05:43","20:55","15:11","ja"
"Dienstag, 18. Mai 2010","05:42","20:56","15:14","ja"
"Mittwoch, 19. Mai 2010","05:41","20:58","15:16","ja"
"Donnerstag, 20. Mai 2010","05:40","20:59","15:18","ja"
"Freitag, 21. Mai 2010","05:39","21:00","15:21","ja"
"Samstag, 22. Mai 2010","05:38","21:01","15:23","ja"
"Sonntag, 23. Mai 2010","05:37","21:02","15:25","ja"
"Montag, 24. Mai 2010","05:36","21:03","15:27","ja"
"Dienstag, 25. Mai 2010","05:35","21:05","15:29","ja"
"Mittwoch, 26. Mai 2010","05:34","21:06","15:31","ja"
"Donnerstag, 27. Mai 2010","05:33","21:07","15:33","ja"
"Freitag, 28. Mai 2010","05:32","21:08","15:35","ja"
"Samstag, 29. Mai 2010","05:31","21:09","15:37","ja"
"Sonntag, 30. Mai 2010","05:30","21:10","15:39","ja"
"Montag, 31. Mai 2010","05:29","21:11","15:41","ja"
